               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026177,            0.019944,           0.0029151,             0.87386,             0.89475,             0.91654,             0.64618,            0.021691,           0.0096053,          0.00085374,             0.00307,             0.00307,             0.00307
                  37,            0.026203,            0.019184,           0.0034331,             0.86579,             0.89761,             0.92125,              0.6324,              0.0219,           0.0093548,          0.00085442,            0.002872,            0.002872,            0.002872
                  38,             0.02558,            0.017857,           0.0033405,             0.86845,             0.88451,             0.91542,             0.63265,            0.022071,           0.0093522,          0.00081863,            0.002674,            0.002674,            0.002674
                  39,            0.025702,            0.018481,           0.0029954,             0.88732,             0.89628,             0.92267,             0.64632,            0.021249,           0.0092858,          0.00083079,            0.002476,            0.002476,            0.002476
                  40,            0.025507,            0.018713,           0.0023198,             0.89201,             0.87389,             0.92709,             0.64753,            0.020763,           0.0091537,          0.00080161,            0.002278,            0.002278,            0.002278
                  41,            0.025673,            0.019283,           0.0026816,             0.89579,             0.89841,              0.9279,             0.65405,            0.021202,           0.0091538,          0.00071339,             0.00208,             0.00208,             0.00208
                  42,            0.025167,            0.018938,           0.0026989,             0.85938,             0.90836,               0.931,             0.65861,            0.020368,           0.0092371,          0.00077561,            0.001882,            0.001882,            0.001882
                  43,            0.024246,            0.018439,           0.0028003,             0.89408,              0.8974,             0.93026,             0.65954,            0.020781,           0.0092617,          0.00073253,            0.001684,            0.001684,            0.001684
                  44,            0.024249,            0.017434,           0.0024459,              0.8839,             0.88894,             0.93396,             0.65269,            0.021153,           0.0091859,          0.00073077,            0.001486,            0.001486,            0.001486
                  45,            0.024092,            0.018514,           0.0021574,             0.90221,              0.8828,             0.92571,             0.64508,            0.020482,           0.0091387,          0.00074429,            0.001288,            0.001288,            0.001288
                  46,             0.02304,             0.01757,           0.0016543,             0.89427,             0.89453,             0.93489,             0.65812,            0.020559,           0.0090812,          0.00070112,             0.00109,             0.00109,             0.00109
                  47,            0.023574,            0.017325,           0.0020628,             0.90676,             0.89065,             0.92543,             0.65507,            0.020318,           0.0090635,          0.00069663,            0.000892,            0.000892,            0.000892
                  48,            0.023934,            0.017837,            0.002799,             0.90456,             0.88562,             0.93516,             0.67145,            0.020427,            0.008999,          0.00069961,            0.000694,            0.000694,            0.000694
                  49,            0.023225,            0.017443,           0.0020366,             0.91308,             0.89606,             0.93765,             0.66566,            0.020346,           0.0089414,          0.00068171,            0.000496,            0.000496,            0.000496
