               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.023622,            0.017843,           0.0030963,             0.91188,             0.87107,             0.91777,             0.65644,            0.021154,           0.0093375,           0.0010046,             0.00307,             0.00307,             0.00307
                  37,            0.023787,            0.017135,           0.0027932,             0.89891,             0.87479,             0.91803,              0.6716,            0.019723,           0.0091735,          0.00095618,            0.002872,            0.002872,            0.002872
                  38,            0.023312,            0.015865,           0.0027722,             0.90329,              0.8811,             0.92324,             0.65867,            0.020106,           0.0091822,          0.00095833,            0.002674,            0.002674,            0.002674
                  39,            0.023246,            0.016533,           0.0025228,             0.90698,             0.87144,             0.92008,             0.66756,            0.020408,           0.0093011,           0.0012261,            0.002476,            0.002476,            0.002476
                  40,            0.022668,            0.016521,            0.002113,             0.89726,             0.89439,             0.93477,             0.67845,            0.020121,           0.0090218,          0.00089481,            0.002278,            0.002278,            0.002278
                  41,            0.022873,            0.016996,           0.0024489,             0.89182,             0.90068,             0.94316,             0.67946,            0.020073,           0.0089317,          0.00075831,             0.00208,             0.00208,             0.00208
                  42,            0.022225,             0.01656,           0.0024558,             0.89233,              0.9168,             0.92588,             0.67476,            0.019594,           0.0089305,          0.00093557,            0.001882,            0.001882,            0.001882
                  43,             0.02153,            0.016234,           0.0025697,             0.92936,             0.89619,             0.93207,              0.6857,            0.019377,           0.0089738,          0.00084521,            0.001684,            0.001684,            0.001684
                  44,            0.021444,            0.015265,           0.0021763,             0.92089,              0.8935,             0.93669,             0.69266,            0.019859,           0.0088989,          0.00074351,            0.001486,            0.001486,            0.001486
                  45,            0.021046,            0.016075,           0.0019729,             0.89543,             0.90185,             0.93083,             0.68586,            0.019007,           0.0089684,           0.0007377,            0.001288,            0.001288,            0.001288
                  46,            0.020081,            0.015288,           0.0014426,             0.92294,             0.88846,             0.92645,             0.68637,            0.019098,            0.008864,          0.00070764,             0.00109,             0.00109,             0.00109
                  47,            0.020464,            0.014962,           0.0018478,             0.90033,             0.91274,             0.92727,             0.68363,            0.018944,           0.0088716,           0.0006403,            0.000892,            0.000892,            0.000892
                  48,            0.020768,            0.015468,           0.0024773,             0.89793,             0.91299,             0.92389,             0.68809,            0.018792,            0.008969,          0.00073431,            0.000694,            0.000694,            0.000694
                  49,            0.020129,            0.015054,           0.0018318,             0.93071,             0.89129,             0.92841,             0.68588,            0.018877,           0.0089114,          0.00075246,            0.000496,            0.000496,            0.000496
